-1.61,31130.9,1360.25,-136287,-33851.4,-5440.99
-1.62,31540.7,1361.85,-139729,-34264.4,-5447.39
-1.63,31939.3,1362.99,-143115,-34665.3,-5451.95
-1.64,32367.9,1364.85,-146804,-35097.5,-5459.39
-1.65,32784.8,1366.24,-150435,-35517.3,-5464.96
-1.66,33211.2,1367.76,-154193,-35946.8,-5471.05
-1.67,33647.4,1369.41,-158087,-36386.2,-5477.65
-1.68,34070.4,1370.57,-161905,-36811.6,-5482.29
-1.69,34502.8,1371.86,-165855,-37246.6,-5487.43
-1.7,34944.9,1373.27,-169943,-37691.5,-5493.06
-1.71,35397.1,1374.8,-174175,-38146.7,-5499.2
-1.72,35834.1,1375.82,-178311,-38585.8,-5503.26
-1.73,36306.7,1377.61,-182844,-39062,-5510.44
-1.74,36763.8,1378.87,-187278,-39521.6,-5515.49
-1.75,37231.2,1380.26,-191866,-39991.7,-5521.04
-1.76,37681.3,1381.1,-196332,-40443.4,-5524.38
-1.77,38169.5,1382.73,-201240,-40934.9,-5530.93
-1.78,38639.9,1383.81,-206022,-41407.5,-5535.24
-1.79,39120.6,1385,-210967,-41890.6,-5540.02
-1.8,39612.1,1386.32,-216084,-42384.8,-5545.3
-1.81,40114.7,1387.77,-221379,-42890.2,-5551.08
-1.82,40596.8,1388.62,-226514,-43374,-5554.47
-1.83,41121.9,1390.32,-232181,-43902.5,-5561.26
-1.84,41625.9,1391.4,-237680,-44408.7,-5565.62
-1.85,42141.1,1392.61,-243367,-44926.3,-5570.46
-1.86,42667.7,1393.95,-249251,-45455.6,-5575.8
-1.87,43170.7,1394.64,-254929,-45960,-5578.57
-1.88,43720.7,1396.22,-261220,-46513.2,-5584.9
-1.89,44246.2,1397.15,-267296,-47040.5,-5588.61
-1.9,44783.1,1398.2,-273576,-47579.5,-5592.8
-1.91,45331.8,1399.37,-280070,-48130.6,-5597.47
-1.92,45892.8,1400.66,-286788,-48694.1,-5602.63
-1.93,46425.7,1401.25,-293236,-49228.2,-5605.02
-1.94,47011.4,1402.79,-300416,-49817,-5611.16
-1.95,47568.1,1403.62,-307312,-50375.3,-5614.48
-1.96,48136.8,1404.56,-314438,-50945.9,-5618.26
-1.97,48717.9,1405.63,-321805,-51529.1,-5622.51
-1.98,49311.8,1406.81,-329423,-52125.4,-5627.25
-1.99,49872.5,1407.24,-336689,-52687,-5628.98
